Super Street Fighter 4,Image,Ultimate Marvel vs. Capcom 3,Image,BlazeBlue: Chrono,Image,Injustice,Image,Guilty Gear Core R,Image,King of Fighters XIII,Image,SSB Melle,Image,Project M 3.0,Image,Tekken Tag 2,Image,Killer instinct,Image,Divekick ,Image,Skullgirls Encore,Image,Vampire Savior,Image,Soul Calibur V,Image,Street Fighter X Tekken,Image,Mortal Kombat 9,Image
M.Bison,http://static.capcom.com/ssf4/media/images/thumb/ch_bison_t.jpg,Hsien Ko,http://static.capcom.com/character_api/umvc3/thumb/hsien-ko.jpg,Hakumen,http://www.blazblue.com/wp-content/uploads/2008/08/HakuCSArt-150x150.png,Flash,https://www.injustice.com/sites/default/files/characters/icons/flash-thumb_0.png,Axl,http://www.fightersgeneration.com/characters/axl-f_small.jpg,EX Kyo,http://wiki.shoryuken.com/images/c/c1/KOFXIII-EX_Kyo_select_face.png,Link,http://img1.wikia.nocookie.net/__cb20071003040918/nintendo/en/images/thumb/0/03/MeleeLink.jpg/50px-MeleeLink.jpg,Fox,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.007.png,Bryan,http://eng.tekkenpedia.com/images/thumb/9/9d/1Bryan.png/100px-1Bryan.png,,,,,Big Band,http://static4.wikia.nocookie.net/__cb20130830234113/skullgirls/images/thumb/e/e8/Tumblr_msdaqvuXRO1s4c693o1_500.jpg/325px-Tumblr_msdaqvuXRO1s4c693o1_500.jpg,Lilith,http://cdn.wikimg.net/strategywiki/images/c/c8/Darkstalkers_Lilith.png,Lord Geo Dampierre,http://img4.wikia.nocookie.net/__cb20120306030042/soulcalibur/images/thumb/e/e3/Dampierre.jpg/300px-Dampierre.jpg,Poison,http://static4.wikia.nocookie.net/__cb20130715221757/streetfighter/images/thumb/c/c6/PoisonUSSIV.jpg/270px-PoisonUSSIV.jpg,Kitana,http://upload.wikimedia.org/wikipedia/en/thumb/5/5c/KitanaMK2011.JPG/225px-KitanaMK2011.JPG
Seth,http://static.capcom.com/ssf4/media/images/thumb/ch_seth_t.jpg,Jill,http://static.capcom.com/character_api/umvc3/thumb/jill.jpg,Hazama,http://www.blazblue.com/wp-content/uploads/2008/08/HazaCSArt-150x150.png,Harley,https://www.injustice.com/sites/default/files/characters/icons/harley-thumb_0.png,Anji,http://www.fightersgeneration.com/characters/anji-profile.gif,Mr. Karate,http://wiki.shoryuken.com/images/3/31/KOFXIII-Mr._Karate_select_face.png,Luigi,http://img3.wikia.nocookie.net/__cb20120104015257/nintendo/en/images/thumb/6/6d/Luigi.png/100px-Luigi.png,Falco,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.019.png,Christie,http://eng.tekkenpedia.com/images/thumb/d/d1/1Christie.png/100px-1Christie.png,,,,,Eliza,http://img2.wikia.nocookie.net/__cb20130828192512/skullgirls/images/thumb/0/07/525286_560967183943249_2081742017_n.jpg/268px-525286_560967183943249_2081742017_n.jpg,Lord Raptor,http://cdn.wikimg.net/strategywiki/images/b/bf/Darkstalkers_Lord_Raptor.png,Cervantes de Leon,http://img1.wikia.nocookie.net/__cb20111117183739/soulcalibur/images/thumb/e/e3/4ec254887427b.jpg/300px-4ec254887427b.jpg,Hugo Andore,http://static4.wikia.nocookie.net/__cb20130715221303/streetfighter/images/thumb/e/e6/HugoULTRA.jpg/250px-HugoULTRA.jpg,Kratos,http://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Kratos_God_of_War_III.jpg/225px-Kratos_God_of_War_III.jpg
Cammy,http://static.capcom.com/ssf4/media/images/thumb/ch_cammy_t.jpg,Morrigan,http://static.capcom.com/character_api/umvc3/thumb/morrigan.jpg,Tsubaki Yayoi,http://www.blazblue.com/wp-content/uploads/2008/08/TsuCSArt-150x150.png,Grundy,https://www.injustice.com/sites/default/files/characters/icons/grundy-thumb_0.png,Venom,http://www.fightersgeneration.com/characters4/venom-f_small.jpg,Ryo Sakazaki,http://wiki.shoryuken.com/images/2/23/KOFXIII-Ryo_select_face.png,Mario,http://img4.wikia.nocookie.net/__cb20090211213518/nintendo/en/images/thumb/a/a5/MarioSSBM.jpg/100px-MarioSSBM.jpg,Ice-Climbers,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.016.png,Combot,http://eng.tekkenpedia.com/images/thumb/1/14/1Combot.png/100px-1Combot.png,,,,,Beowulf,http://img2.wikia.nocookie.net/__cb20130828192830/skullgirls/images/thumb/a/a3/Beowolf_0_8.jpg/250px-Beowolf_0_8.jpg,Morrigan Aensland,http://cdn.wikimg.net/strategywiki/images/e/ee/Darkstalkers_Morrigan.png,Aeon Calcos,http://img1.wikia.nocookie.net/__cb20111119161510/soulcalibur/images/thumb/1/1e/4ec254819ac8a.jpg/300px-4ec254819ac8a.jpg,Rufus,http://img2.wikia.nocookie.net/__cb20111015005109/streetfighter/images/thumb/4/44/14_sfxt07.jpg/270px-14_sfxt07.jpg,Kung Lao,http://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Kung_Lao_MK.jpg/220px-Kung_Lao_MK.jpg
Chun-Li,http://static.capcom.com/ssf4/media/images/thumb/ch_chunli_t.jpg,Nemesis,http://static.capcom.com/character_api/umvc3/thumb/nemesis-1.jpg,Mu-12,http://www.blazblue.com/wp-content/uploads/2008/08/MuCSArt-150x150.png,Nightwing,https://www.injustice.com/sites/default/files/characters/icons/nightwing-thumb_0.png,Dizzy,http://www.fightersgeneration.com/characters/dizzy-panel_small.gif,Robert Garcia,http://wiki.shoryuken.com/images/b/bb/KOFXIII-Robert_select_face.png,Marth,http://img4.wikia.nocookie.net/__cb20130112172337/nintendo/en/images/thumb/8/8d/Marth_%28Fire_Emblem_Awakening%29.png/200px-Marth_%28Fire_Emblem_Awakening%29.png,Zelda,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.014.png,Devil Jin,http://eng.tekkenpedia.com/images/thumb/5/59/1Devil_Jin.png/100px-1Devil_Jin.png,,,,,Robo Fortune,http://img1.wikia.nocookie.net/__cb20130909164846/skullgirls/images/thumb/5/57/Robo_fortune.jpg/265px-Robo_fortune.jpg,Pyron,http://cdn.wikimg.net/strategywiki/images/a/a5/Darkstalkers_Pyron.png,Yoshimitsu,http://img2.wikia.nocookie.net/__cb20111117183835/soulcalibur/images/thumb/0/0f/4ec2549259f09.jpg/350px-4ec2549259f09.jpg,Zangief,http://img2.wikia.nocookie.net/__cb20120519231150/streetfighter/images/thumb/5/55/SFXT-Street-Fighter-X-Tekken-Art-Zangief.jpg/270px-SFXT-Street-Fighter-X-Tekken-Art-Zangief.jpg,Liu Kang,http://upload.wikimedia.org/wikipedia/en/e/e2/LiuKangshaolinmonks.jpg
Dan,http://static.capcom.com/ssf4/media/images/thumb/ch_dan_t.jpg,Phoenix Wright,http://static.capcom.com/character_api/umvc3/thumb/phoenix-wright-1.jpg,Makoto Nanaya,http://www.blazblue.com/wp-content/uploads/2008/08/MakCSArt-150x150.png,Green Arrow,https://www.injustice.com/sites/default/files/characters/icons/green-arrow-thumb_0.png,Testament,http://www.fightersgeneration.com/characters4/testa-rl_small.gif,Takuma Sakazaki,http://wiki.shoryuken.com/images/e/e7/KOFXIII-Takuma_select_face.png,Mewtwo,http://img2.wikia.nocookie.net/__cb20070821041934/nintendo/en/images/thumb/e/ee/MeleeMewtwo.jpg/50px-MeleeMewtwo.jpg,Sheik,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.015.png,Doctor Bosconovitch,http://eng.tekkenpedia.com/images/thumb/d/dc/1Dr._Bosconovitch.png/100px-1Dr._Bosconovitch.png,,,,,,,Q-Bee,http://cdn.wikimg.net/strategywiki/images/a/a2/Darkstalkers_Q-Bee.png,Algol,http://img4.wikia.nocookie.net/__cb20120104210447/soulcalibur/images/thumb/1/1f/Sc5-algol.jpg/300px-Sc5-algol.jpg,Vega,http://img2.wikia.nocookie.net/__cb20120205160931/streetfighter/images/thumb/4/48/Sfxt-vega.jpg/270px-Sfxt-vega.jpg,Mileena,http://upload.wikimedia.org/wikipedia/en/thumb/5/58/Mileena_MK9.png/220px-Mileena_MK9.png
El Fuerte,http://static.capcom.com/ssf4/media/images/thumb/ch_elfuerte_t.jpg,Ryu,http://static.capcom.com/character_api/umvc3/thumb/ryu.jpg,Valkenhayn R. Hellsing,http://www.blazblue.com/wp-content/uploads/2008/08/ValkCSArt-150x150.png,Joker,https://www.injustice.com/sites/default/files/characters/icons/joker-thumb_0.png,Zato-1,http://www.fightersgeneration.com/characters/zato-reload-bust_small.gif,Iori Yagami,http://wiki.shoryuken.com/images/7/75/KOFXIII-Iori_select_face.png,Mr. Game & Watch,http://img3.wikia.nocookie.net/__cb20091128160355/nintendo/en/images/thumb/3/35/Mr._Game_%26_Watch.jpg/250px-Mr._Game_%26_Watch.jpg,Link,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.003.png,Dragunov,http://eng.tekkenpedia.com/images/thumb/0/09/1Dragunov.png/100px-1Dragunov.png,,,,,,,Rikuo,http://cdn.wikimg.net/strategywiki/images/7/79/Darkstalkers_Rikuo.png,Edge Master,http://img4.wikia.nocookie.net/__cb20120104210425/soulcalibur/images/thumb/5/5a/Sc5-edgemaster.jpg/300px-Sc5-edgemaster.jpg,Balrog,http://img3.wikia.nocookie.net/__cb20120205102034/streetfighter/images/thumb/b/bb/Sfxt-balrog.jpg/270px-Sfxt-balrog.jpg,Nightwolf,http://upload.wikimedia.org/wikipedia/en/0/0a/Nightwolfmk9.png
Ken,http://static.capcom.com/ssf4/media/images/thumb/ch_ken_t.jpg,Spencer,http://static.capcom.com/character_api/umvc3/thumb/spencer.jpg,Platinum the Trinity,http://www.blazblue.com/wp-content/uploads/2008/08/PlatCSArt-150x150.png,Superman,https://www.injustice.com/sites/default/files/characters/icons/superman-thumb_0.png,Slayer,http://www.fightersgeneration.com/characters3/slayer-rl_small.gif,Mature,http://wiki.shoryuken.com/images/3/31/KOFXIII-Mature_select_face.png,Ness,http://img1.wikia.nocookie.net/__cb20070915074505/nintendo/en/images/3/30/Ness_SSB.gif,Toon Link,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.041.png,Eddy,http://eng.tekkenpedia.com/images/thumb/4/4e/1Eddy.png/100px-1Eddy.png,,,,,,,Sasquatch,http://cdn.wikimg.net/strategywiki/images/d/d5/Darkstalkers_Sasquatch.png,Kilik,http://img2.wikia.nocookie.net/__cb20120303193653/soulcalibur/images/thumb/f/f1/00209_o2775216.png/300px-00209_o2775216.png,M. Bison,http://img1.wikia.nocookie.net/__cb20121204032208/streetfighter/images/thumb/2/2a/Bison_SFXT_Plain.jpg/279px-Bison_SFXT_Plain.jpg,Noob Saibot,http://upload.wikimedia.org/wikipedia/en/thumb/8/89/Noob_Saibot.png/200px-Noob_Saibot.png
Rufus,http://static.capcom.com/ssf4/media/images/thumb/ch_rufus_t.jpg,Strider,http://static.capcom.com/character_api/umvc3/thumb/strider.jpg,Relius Clover,http://www.blazblue.com/wp-content/uploads/2008/08/Rerirus-Cloba-150x150.png,Cyborg,https://www.injustice.com/sites/default/files/characters/icons/cyborg-thumb_0.png,Bridget,http://www.fightersgeneration.com/characters/bridget-f_small.jpg,Vice,http://wiki.shoryuken.com/images/b/b8/KOFXIII-Vice_select_face.png,Peach,http://img2.wikia.nocookie.net/__cb20071227221306/nintendo/en/images/thumb/7/7c/PeachParasolBrawl.jpg/180px-PeachParasolBrawl.jpg,Ganondorf,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.020.png,Feng,http://eng.tekkenpedia.com/images/thumb/7/7d/1Feng.png/100px-1Feng.png,,,,,,,Victor von Gerdenheim,http://cdn.wikimg.net/strategywiki/images/6/69/Darkstalkers_Victor.png,Patroklos Alexander,http://img2.wikia.nocookie.net/__cb20111220141046/soulcalibur/images/thumb/7/75/221980_199044120138928_157579717618702_517230_1815010_n.jpg/300px-221980_199044120138928_157579717618702_517230_1815010_n.jpg,Juri Han,http://static1.wikia.nocookie.net/__cb20120519225917/streetfighter/images/thumb/3/3d/SFXT-Street-Fighter-X-Tekken-Art-Juri_Han.jpg/270px-SFXT-Street-Fighter-X-Tekken-Art-Juri_Han.jpg,Quan Chi,http://img1.wikia.nocookie.net/__cb20091102131216/mk_/images/7/71/Fasttttttt.gif
Ryu,http://static.capcom.com/ssf4/media/images/thumb/ch_ryu_t.jpg,Trish,http://static.capcom.com/character_api/umvc3/thumb/trish.jpg,,,Bane,https://www.injustice.com/sites/default/files/characters/icons/bane-thumb_0.png,I-no,http://www.fightersgeneration.com/characters2/ino-rl_small.gif,Saiki (Boss),http://wiki.shoryuken.com/images/a/a2/KOFXIII-Boss_Saiki_select_face.png,Pichu,http://img4.wikia.nocookie.net/__cb20111106174209/nintendo/en/images/9/9d/Pichu.png,Mewtwo,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.028.png,Forest,http://eng.tekkenpedia.com/images/thumb/4/44/1Forest.png/100px-1Forest.png,,,,,,,,,Pyrrha Alexandra,http://img3.wikia.nocookie.net/__cb20131220203915/soulcalibur/images/thumb/7/78/SCV_Pyrrha_Alexandra.png/300px-SCV_Pyrrha_Alexandra.png,Akuma ,http://img2.wikia.nocookie.net/__cb20121204031430/streetfighter/images/thumb/3/31/Akuma_Sfxt_Plain.jpg/250px-Akuma_Sfxt_Plain.jpg,Raiden,http://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Raiden_mkvsdc.jpg/175px-Raiden_mkvsdc.jpg
Sagat,http://static.capcom.com/ssf4/media/images/thumb/ch_sagat_t.jpg,Tron Bonne,http://static.capcom.com/character_api/umvc3/thumb/tron.jpg,,,Lex Luther,https://www.injustice.com/sites/default/files/characters/icons/lex-luthor-thumb_0.png,Zappa,http://www.fightersgeneration.com/characters4/zappa-f_small1.jpg,Dark Ash,http://wiki.shoryuken.com/images/d/d7/KOFXIII-Dark_Ash_select_face.png,Pikachu,http://img2.wikia.nocookie.net/__cb20071003040013/nintendo/en/images/thumb/3/3e/MeleePikachu.jpg/50px-MeleePikachu.jpg,Lucario,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.033.png,Ganryu,http://eng.tekkenpedia.com/images/thumb/f/f5/1Ganryu.png/100px-1Ganryu.png,,,,,,,,,Natsu,http://img2.wikia.nocookie.net/__cb20110721043926/soulcalibur/images/thumb/3/3d/Sc5_pub_2d_natsu1-copy.jpg/300px-Sc5_pub_2d_natsu1-copy.jpg,Sakura Kasugano1,http://img1.wikia.nocookie.net/__cb20120519191309/streetfighter/images/thumb/b/b3/Sfxt-sakura-kasugano.jpg/270px-Sfxt-sakura-kasugano.jpg,Rain,http://upload.wikimedia.org/wikipedia/en/d/d5/RainMK9render.png
Balrog,http://static.capcom.com/ssf4/media/images/thumb/ch_balrog_t.jpg,Viewtiful Joe,http://static.capcom.com/character_api/umvc3/thumb/viewtiful-joe.jpg,,,Green Lantern,https://www.injustice.com/sites/default/files/characters/icons/green-lantern-thumb_0.png,Leopaldon,http://www.fightersgeneration.com/characters2/leopaldon-isuka-hr_small.jpg,Elisabeth,http://wiki.shoryuken.com/images/6/6b/KOFXIII-Elisabeth_select_face.png,Roy,http://img2.wikia.nocookie.net/__cb20130112052611/nintendo/en/images/thumb/2/2a/Roy_%28Fire_Emblem_Awakening%29.png/200px-Roy_%28Fire_Emblem_Awakening%29.png,Pickachu,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.008.png,Heihachi,http://eng.tekkenpedia.com/images/thumb/d/d9/1Heihachi.png/100px-1Heihachi.png,,,,,,,,,Z.W.E.I.,http://img2.wikia.nocookie.net/__cb20110721043926/soulcalibur/images/thumb/d/d0/Sc5_pub_2d_zwei1b-copy.jpg/300px-Sc5_pub_2d_zwei1b-copy.jpg,Blanka,http://img1.wikia.nocookie.net/__cb20120519202852/streetfighter/images/thumb/4/4a/Blanka_SfxT.png/270px-Blanka_SfxT.png,Reptile,http://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Mk_monks_reptile_render1.png/210px-Mk_monks_reptile_render1.png
Blanka,http://static.capcom.com/ssf4/media/images/thumb/ch_blanka_t.jpg,Wesker,http://static.capcom.com/character_api/umvc3/thumb/wesker.jpg,,,Sinestro,https://www.injustice.com/sites/default/files/characters/icons/sinestro-thumb_0.png,Holy Order Sol,http://www.fightersgeneration.com/characters/holyorder-acplus-end_small.jpg,Duo Lon,http://wiki.shoryuken.com/images/3/37/KOFXIII-Duo_Lon_select_face.png,Samus,http://img1.wikia.nocookie.net/__cb20071214134303/nintendo/en/images/thumb/f/f7/SamusSSBB4.jpg/180px-SamusSSBB4.jpg,jigglypuff,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.037.png,Hwoarang,http://eng.tekkenpedia.com/images/thumb/7/7b/1Hwoarang.png/100px-1Hwoarang.png,,,,,,,,,Yan Leixia,http://img1.wikia.nocookie.net/__cb20140120172338/soulcalibur/images/thumb/a/a8/SCVYANLEIXIAOFFECIALART.jpg/300px-SCVYANLEIXIAOFFECIALART.jpg,Guy,http://static1.wikia.nocookie.net/__cb20120412194743/streetfighter/images/thumb/f/fb/Guy.png/270px-Guy.png,Scorpion,http://upload.wikimedia.org/wikipedia/en/thumb/d/df/Scorpion_%28Mortal_Kombat%29.png/225px-Scorpion_%28Mortal_Kombat%29.png
Guile,http://static.capcom.com/ssf4/media/images/thumb/ch_guile_t.jpg,Captain America,http://static.capcom.com/character_api/umvc3/thumb/captain-america.jpg,,,,,A.B.A.,http://www.fightersgeneration.com/characters/abaa.gif,Shen Woo,http://wiki.shoryuken.com/images/1/10/KOFXIII-Shen_select_face.png,Young Link,http://img2.wikia.nocookie.net/__cb20110909221909/nintendo/en/images/5/53/Young_Link.png,squirtle,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.030.png,Jack-6,http://eng.tekkenpedia.com/images/thumb/0/01/1Jack-6.png/100px-1Jack-6.png,,,,,,,,,Viola,http://img4.wikia.nocookie.net/__cb20110915163753/soulcalibur/images/thumb/6/6f/ME0001449620_2.jpg/300px-ME0001449620_2.jpg,Cody Travers,http://static3.wikia.nocookie.net/__cb20120519194638/streetfighter/images/thumb/8/85/Cody-_SFxT.png/270px-Cody-_SFxT.png,Sektor,http://upload.wikimedia.org/wikipedia/en/thumb/6/60/Sektor.jpg/200px-Sektor.jpg
Rose,http://static.capcom.com/ssf4/media/images/thumb/ch_rose_t.jpg,Deadpool,http://static.capcom.com/character_api/umvc3/thumb/deadpool.jpg,,,,,Kliff,http://www.fightersgeneration.com/characters2/kliff-upclose.gif,Kim Kaphwan,http://wiki.shoryuken.com/images/1/11/KOFXIII-Kim_select_face.png,Yoshi,http://img2.wikia.nocookie.net/__cb20071003045333/nintendo/en/images/thumb/e/e4/MeleeYoshi.jpg/50px-MeleeYoshi.jpg,ivysaur,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.031.png,Jin,http://eng.tekkenpedia.com/images/thumb/c/ce/2Jin.PNG/97px-2Jin.PNG,,,,,,,,,Xiba,http://img2.wikia.nocookie.net/__cb20111117183734/soulcalibur/images/thumb/e/e1/4ec2548ecb453.jpg/300px-4ec2548ecb453.jpg,Elena,http://img2.wikia.nocookie.net/__cb20130715222336/streetfighter/images/thumb/e/e2/ElenaULTRA.jpg/250px-ElenaULTRA.jpg,Shang Tsung,http://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Shangtsung_mkvsdc.png/220px-Shangtsung_mkvsdc.png
Sakura,http://static.capcom.com/ssf4/media/images/thumb/ch_sakura_t.jpg,Doctor Doom,http://static.capcom.com/character_api/umvc3/thumb/doctor-doom.jpg,,,,,Justice,http://www.fightersgeneration.com/characters2/justice-vs-ggxx_small.png,Hwa Jai,http://wiki.shoryuken.com/images/3/3c/KOFXIII-Hwa_Jai_select_face.png,Zelda,http://img3.wikia.nocookie.net/__cb20071003042103/nintendo/en/images/thumb/4/44/MeleeZelda.jpg/50px-MeleeZelda.jpg,charizard,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.029.png,Jinpachi,http://eng.tekkenpedia.com/images/thumb/c/c7/1Jinpachi.png/100px-1Jinpachi.png,,,,,,,,,A Patroklos,http://static3.wikia.nocookie.net/__cb20120205155458/soulcalibur/images/thumb/8/83/Sc5-patroklos-alpha.jpg/300px-Sc5-patroklos-alpha.jpg,Dudley,http://static4.wikia.nocookie.net/__cb20120519194554/streetfighter/images/thumb/2/2f/Dudley-_SfxT.png/270px-Dudley-_SfxT.png,Sheeva,http://upload.wikimedia.org/wikipedia/en/thumb/1/10/Sheeva_Mortal_Kombat.png/200px-Sheeva_Mortal_Kombat.png
Vega,http://static.capcom.com/ssf4/media/images/thumb/ch_vega_t.jpg,Doctor Strange,http://static.capcom.com/character_api/umvc3/thumb/doctor-strange-1.jpg,,,,,,,Raiden,http://wiki.shoryuken.com/images/e/eb/KOFXIII-Raiden_select_face.png,,,samus,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.004.png,Julia/Jaycee,http://eng.tekkenpedia.com/images/thumb/c/c8/1Jaycee.png/100px-1Jaycee.png,,,,,,,,,Pyrrha,http://img2.wikia.nocookie.net/__cb20120205155405/soulcalibur/images/0/05/Sc5-pyrrha-omega.jpg,Kazuya Mishima,http://img4.wikia.nocookie.net/__cb20121021142138/tekken/en/images/thumb/1/13/Kazuya_TTT2.png/150px-Kazuya_TTT2.png,Sindel,http://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Sindel-mk9.png/235px-Sindel-mk9.png
Zangief,http://static.capcom.com/ssf4/media/images/thumb/ch_zangief_t.jpg,Dormammu,http://static.capcom.com/character_api/umvc3/thumb/dormammu.jpg,,,,,,,Mai Shiranui,http://wiki.shoryuken.com/images/3/33/KOFXIII-Mai_select_face.png,,,zero suit samus,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.024.png,Jun,http://eng.tekkenpedia.com/images/thumb/a/a9/1Jun.png/100px-1Jun.png,,,,,,,,,Elysium,http://static3.wikia.nocookie.net/__cb20120205155213/soulcalibur/images/thumb/a/ae/Sc5-elysium.jpg/300px-Sc5-elysium.jpg,Nina Williams,http://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Nina-williams.png/220px-Nina-williams.png,Skarletb,http://img3.wikia.nocookie.net/__cb20110912224202/mk_/images/thumb/1/11/250px-Skarlet_renderfinal.png/275px-250px-Skarlet_renderfinal.png
Akuma,http://static.capcom.com/ssf4/media/images/thumb/ch_akuma_t.jpg,Ghost Rider,http://static.capcom.com/character_api/umvc3/thumb/ghost-rider.jpg,,,,,,,King,http://wiki.shoryuken.com/images/8/89/KOFXIII-King_select_face.png,,,lucas,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.026.png,Kazuya/Devil,http://eng.tekkenpedia.com/images/thumb/b/bb/1Kazuya.png/100px-1Kazuya.png,,,,,,,,,,,Asuka Kazama,http://img4.wikia.nocookie.net/__cb20120528215234/tekken/en/images/thumb/4/4d/Ttt2cgiAsuka.png/250px-Ttt2cgiAsuka.png,Smoke,http://upload.wikimedia.org/wikipedia/en/thumb/6/63/Smoke_Mortal_Kombat.png/200px-Smoke_Mortal_Kombat.png
E.Honda,http://static.capcom.com/ssf4/media/images/thumb/ch_ehonda_t.jpg,Hawkeye,http://static.capcom.com/character_api/umvc3/thumb/hawkeye.jpg,,,,,,,Yuri Sakazaki,http://wiki.shoryuken.com/images/d/d4/KOFXIII-Yuri_select_face.png,,,ness,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.011.png,King,http://eng.tekkenpedia.com/images/thumb/9/98/1King.png/100px-1King.png,,,,,,,,,,,"Emilie ""Lili"" de Rochefort",http://img2.wikia.nocookie.net/__cb20110521065859/tekken/en/images/thumb/b/b5/Tt2-lili_%281%29.jpg/265px-Tt2-lili_%281%29.jpg,Sonya Blade,http://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Sonyablade-render.png/230px-Sonyablade-render.png
Fei Long,http://static.capcom.com/ssf4/media/images/thumb/ch_feilong_t.jpg,Hulk,http://static.capcom.com/character_api/umvc3/thumb/hulk.jpg,,,,,,,K',http://wiki.shoryuken.com/images/e/ef/KOFXIII-K%27_select_face.png,,,Pit,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.023.png,Kuma,http://eng.tekkenpedia.com/images/thumb/1/1b/1Kuma.png/100px-1Kuma.png,,,,,,,,,,,Heihachi Mishima,http://img3.wikia.nocookie.net/__cb20130206170429/tekken/en/images/thumb/f/f4/Heihachiiiiiiiiiittt2.PNG/250px-Heihachiiiiiiiiiittt2.PNG,Stryker,http://upload.wikimedia.org/wikipedia/en/thumb/4/40/MK9_Stryker.png/220px-MK9_Stryker.png
Gen,http://static.capcom.com/ssf4/media/images/thumb/ch_gen_t.jpg,Iron Fist,http://static.capcom.com/character_api/umvc3/thumb/iron-fist-1.jpg,,,,,,,Kula Diamond,http://wiki.shoryuken.com/images/2/2b/KOFXIII-Kula_select_face.png,,,kirby,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.006.png,Kunimitsu,http://eng.tekkenpedia.com/images/thumb/8/84/1Kunimitsu.png/100px-1Kunimitsu.png,,,,,,,,,,,Kuma,http://img4.wikia.nocookie.net/__cb20120808165137/tekken/en/images/thumb/7/74/Kuma.png/250px-Kuma.png,Sub-Zero,http://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Sub-Zero_%28Mortal_Kombat%29.png/225px-Sub-Zero_%28Mortal_Kombat%29.png
Gouken,http://static.capcom.com/ssf4/media/images/thumb/ch_gouken_t.jpg,Iron Man,http://static.capcom.com/character_api/umvc3/thumb/iron-man.jpg,,,,,,,Maxima,http://wiki.shoryuken.com/images/a/a4/KOFXIII-Maxima_select_face.png,,,metaknight,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.022.png,Lars,http://eng.tekkenpedia.com/images/thumb/3/33/1Lars.png/100px-1Lars.png,,,,,,,,,,,Paul Phoenix,http://img1.wikia.nocookie.net/__cb20121017151537/tekken/en/images/thumb/1/1a/Tekken_tag_tournament_2_paul_phoenix.png/250px-Tekken_tag_tournament_2_paul_phoenix.png,,
,,Magneto,http://static.capcom.com/character_api/umvc3/thumb/magneto.jpg,,,,,,,Athena Asamiya,http://wiki.shoryuken.com/images/1/17/KOFXIII-Athena_select_face.png,,,king dedede,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.032.png,Lee,http://eng.tekkenpedia.com/images/thumb/c/ce/1Lee.png/100px-1Lee.png,,,,,,,,,,,Marshall Law,http://img2.wikia.nocookie.net/__cb20121027153251/tekken/en/images/thumb/e/ef/Law_TTT2.jpg/300px-Law_TTT2.jpg,,
,,MODOK,http://static.capcom.com/character_api/umvc3/thumb/modok.jpg,,,,,,,Sie Kensou,http://wiki.shoryuken.com/images/a/a8/KOFXIII-Kensou_select_face.png,,,ike,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.034.png,Lei,http://eng.tekkenpedia.com/images/thumb/5/52/1Lei.png/100px-1Lei.png,,,,,,,,,,,King,http://img3.wikia.nocookie.net/__cb20121022091616/tekken/en/images/5/51/King_TTT2.png,,
,,Nova,http://static.capcom.com/character_api/umvc3/thumb/nova-1.jpg,,,,,,,Chin Gentsai,http://wiki.shoryuken.com/images/1/1b/KOFXIII-Chin_select_face.png,,,marth,http://projectmgame.com/assets/images/characters/MenSelchrChrFace.017.png,Leo,http://eng.tekkenpedia.com/images/thumb/f/fc/1Leo.png/100px-1Leo.png,,,,,,,,,,,Craig Marduk,http://img2.wikia.nocookie.net/__cb20121022091100/tekken/en/images/thumb/8/8d/Marduk_TTT2.jpg/250px-Marduk_TTT2.jpg,,
